 ,Sale,Broker,Lot #,Desc,Bales,Micron,Y,Y-Z,VM,SD1%,cln kg,Valuation,,Style,Letter Length,Letter helper,,Length ,Comment,LimitGroup,,,,Limits (COF / GSY),X,GSY,COF,Status,Buyer,Allocation
6,I36,PGD,    2022,X A,23,37.4,63.4,3.6,0.2,77.4,3276,"3 E,OT",3 E,3,E,E,105,102,,128D,128 F,,,260  256  /  201  198,,1.95,2.519379845,S,WSI,
6,I36,PGD,    2023,X LBS B/P A,6,29.3,63.5,2.4,0,69.6,524,"756+ P,BF","756+ P,BF",756+,"P,BF",P,60,60,,,,,,    /    ,,1.03,1.479885057,P,CHG,
6,I36,PGD,    2024,ROM LBS B/P A,11,29,59.1,4.2,0,70.6,1323,756- K,756- K,756-,K,K,68,68,,756/7,,,,205    /  145  ,,1.36,1.926345609,P,MAS,
6,I36,PGD,    2025,LINCOLN A,20,40.6,63.6,3.3,0,74.6,2940,3 E,3 E,3,E,E,105,110,156,128D,128 F,,,260  256  /  194  191,,2.16,2.895442359,P,WSI,
6,I36,PGD,    2026,LINCOLN A,16,41.9,64.3,2.9,0,78.9,2473,3- E,3- E,3-,E,E,105,110,156,,,,,    /    ,,2.4,3.041825095,P,WSI,
6,I36,PGD,    2027,X 2/S A,9,39,69.7,-1.1,0,85.8,1186,127 K,127 K,127,K,K,68,68,ORO (39.0),127/8 K,,,,248    /  213  ,,2.15,2.505827506,S,WSI,
6,I36,PGD,    2028,X LBS A,16,29.6,66.4,0.4,0,82.8,1933,730 OBF,730,730,,,,62,,,,,,    /    ,,3.1,3.743961353,S,CURTIS,
6,I36,PGD,    2029,X A,10,33.6,65.6,3.6,0.1,77.5,1057,"114 J+,PT",114 J+,114,J+,J,74,74,OW,,,,,    /    ,,2.05,2.64516129,S,MAS,
6,I36,PGD,    2030,X AA,19,36,63.5,4.6,0.2,76.6,1770,"3- F,OT",3- F,3-,F,F,100,92,,128-F,128/9F,,,244  234  /  187  179,,1.85,2.415143603,S,WSI,
6,I36,PGD,    2031,X A,28,35.3,61.2,6.4,0.1,75.8,2824,"4/Y F,OT",4/Y F,4/Y,F,F,100,88,,XF,,,,223    /  169  ,,1.74,2.295514512,S,FUHR,
6,I36,PGD,    2032,X A,51,38.1,63.8,2.8,0.2,80.5,7748,3+ F,3+ F,3+,F,F,100,100,,127/8F,128 F,,,265  256  /  213  206,,2.15,2.670807453,S,B+B,
6,I36,PGD,    2033,X 2/S A,10,36.2,66.2,1,0,87,1004,113/4 K+,113/4 K+,113/4,K+,K,68,68,AT113,127/8 J,127/8 K,,,254  248  /  221  216,x,2.12,2.436781609,P,B+B,
6,I36,PGD,    2034,X LBS A,17,30.9,67.2,-0.4,0,84.5,1884,738,738,738,,,,66,,,,,,    /    ,,1.91,2.26035503,P,CHG,
7,I36,PGD,    2035,X H A,15,35,63,2.1,0,75.8,1618,"3+ F,ST",3+ F,3+,F,F,100,94,,C121,127/8F,,,286  274  /  217  208,,1.98,2.612137203,S,B+B,
7,I36,PGD,    2036,X A,9,38.7,61.5,5.6,0,70.5,1047,4 F,4 F,4,F,F,100,102,DAMP,128/9F,,,,233    /  164  ,,1.66,2.354609929,S,FUHR,
7,I36,PGD,    2037,X AA,44,36.9,62.5,3.3,0.1,80,5894,"3 F,OT",3 F,3,F,F,100,94,,128 F,,,,256    /  205  ,,1.98,2.475,S,FUHR,
7,I36,PGD,    2038,X AA,48,36.7,64.1,3,0.1,80.7,6921,"3 F,OT",3 F,3,F,F,100,96,,128 F,,,,257    /  207  ,,2,2.478314746,S,FUHR,
7,I36,PGD,    2039,X LBS A,9,30.6,68.8,-0.5,0,79.1,1319,734,734,734,,,,64,,L29.5,734,,,357  324  /  282  256,,2.25,2.844500632,S,WSI,
7,I36,PGD,    2040,X LBS A,15,31.7,66.8,0.2,0.1,79.5,1906,734,734,734,,,,65,,L29.5,734,,,318  273  /  253  217,,2.11,2.65408805,S,WSI,
7,I36,PGD,    2041,PER AA,41,34.4,62.7,4.8,0.2,79.1,5966,"114- G+,ST",114- G+,114-,G+,G,90,88,,,,,,    /    ,,1.93,2.439949431,S,MAS,
7,I36,PGD,    2042,PER AA,40,35.1,62.2,4.7,0.2,78.7,5882,"114- G+,ST",114- G+,114-,G+,G,90,86,,128/9 G,,,,234    /  184  ,,1.88,2.388818297,P,CHG,
7,I36,PGD,    2043,PER AA,41,35.4,61,5.8,0.1,77.8,5826,"114/5+ G+,ST",114/5+ G+,114/5+,G+,G,90,88,,128/9 G,,,,233    /  181  ,,1.81,2.326478149,S,WSI,
7,I36,PGD,    2044,PER A,12,35.3,59.3,6.3,0.1,78.1,1754,"114/5 I/G,ST",114/5 I/G,114/5,I/G,I,82,84,,128/9 G,,,,233    /  182  ,,1.65,2.112676056,S,MAS,
7,I36,PGD,    2045,PER BLS A,9,35.1,53.1,7.6,0.4,66.4,1099,651- J/I,651- J/I,651-,J/I,J,74,72,89,607/8 I,,,,181    /  120  ,,1.22,1.837349398,S,MAS,
7,I36,PGD,    2046,X A,4,36,64,2.1,0,76.6,446,"114 G,ST",114 G,114,G,G,90,86,,128 G,,,,252    /  193  ,,1.95,2.545691906,S,WSI,
7,I36,PGD,    2047,X LBS A,5,30.4,69,-0.8,0.1,81.1,539,734,734,734,,,,62,P/S,734,,,,342    /  277  ,,2.6,3.205918619,S,B+B,
7,I36,PGD,    2048,X LBS A,5,31.5,67.7,1.2,0,81.7,588,734,734,734,,,,62,,734,,,,275    /  225  ,,2.22,2.717258262,P,FUHR,
7,I36,PGD,    2049,X LBS B/P A,5,29.8,62.9,4,0.1,70.5,600,756 K-,756 K-,756,K-,K,68,68,,756,,,,240    /  169  ,,1.34,1.90070922,P,WSI,
7,I36,PGD,    2050,X A,18,32.5,64,3.4,0.1,74.4,1537,"114- G,PT",114- G,114-,G,G,90,90,OW,,,,,    /    ,,2.18,2.930107527,S,WSI,
7,I36,PGD,    2051,X LBS A,4,30.5,66.4,1.1,0.1,79,402,734,734,734,,,,62,SOFT,734,,,,335    /  265  ,,2.45,3.101265823,S,B+B,
8,I36,PGD,    2052,X A,36,37.7,62.6,3.4,0,77.4,5137,"4+ F+,OT",4+ F+,4+,F+,F,100,98,(3.4),128-F,128/9F,,,242  233  /  187  180,,1.99,2.571059432,S,MAS,
8,I36,PGD,    2053,X COTT,5,37.1,59.5,5.9,0.1,75.8,676,"Y G,OT",Y G,Y,G,G,90,94,89,XF,,,,215    /  163  ,,1.4,1.846965699,P,FUHR,
8,I36,PGD,    2054,X PCS A,6,36.4,55,8,0.2,68,764,"521/2 I/G,OT",521/2 I/G,521/2,I/G,I,82,82,89,607/8 G,607/8 I,,,190  179  /  129  122,,1.23,1.808823529,S,FUHR,
8,I36,PGD,    2055,X LBS B/P A,5,28.7,61.3,3.5,0.1,73.6,660,756+ K,756+ K,756+,K,K,68,68,,756,,,,292    /  215  ,,2,2.717391304,S,WSI,
8,I36,PGD,    2056,X LBS B/P,36,29.1,59.3,4.5,0,72.4,4154,756- K-,756- K-,756-,K-,K,68,68,,756/7,,,,203    /  147  ,,1.34,1.850828729,P,MAS,
8,I36,PGD,    2057,X LBS B/P A,5,29.5,61.8,3.8,0.2,72.1,614,756+ K-,756+ K-,756+,K-,K,68,68,,756,,,,255    /  184  ,,1.55,2.149791956,S,WSI,
